epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,10618.8,1.81769,0.95328,1.09086,0.83735,0.73672,0.77313,0.40957,2.28035,1.29344,0.94697,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,10892.6,1.79704,0.93853,1.08462,0.84306,0.73194,0.76962,0.40916,2.27982,1.29694,0.94803,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,11700.4,1.79545,0.93531,1.08199,0.83472,0.73743,0.77184,0.4134,2.2792,1.29785,0.94703,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,12180.6,1.79232,0.93166,1.08237,0.84349,0.74001,0.77588,0.41793,2.26924,1.29189,0.94588,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,12433.8,1.7865,0.93035,1.07938,0.8471,0.73769,0.77633,0.41211,2.2711,1.28732,0.9464,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,12688.2,1.78598,0.92689,1.07758,0.84614,0.74062,0.77709,0.41828,2.26623,1.28315,0.94449,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,12947.6,1.77221,0.91859,1.07674,0.8406,0.74101,0.77827,0.41963,2.26307,1.2847,0.94201,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,13211.4,1.78025,0.92111,1.07437,0.84261,0.74092,0.77874,0.42187,2.25793,1.27804,0.94084,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,13502.2,1.76146,0.91027,1.07312,0.83823,0.74473,0.77888,0.42427,2.25441,1.27291,0.93849,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,13763.3,1.76139,0.90858,1.06912,0.84296,0.74388,0.77998,0.42633,2.24927,1.26702,0.93761,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,14031.1,1.75163,0.90306,1.07074,0.84724,0.7435,0.78079,0.42581,2.24926,1.26619,0.93774,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,14288.5,1.74561,0.89488,1.06733,0.84654,0.74593,0.78136,0.42818,2.24351,1.25425,0.93494,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,14545.8,1.74143,0.88845,1.06104,0.84547,0.74568,0.78213,0.42943,2.24248,1.25479,0.93583,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,14892.3,1.73739,0.88502,1.05723,0.84876,0.74655,0.78325,0.43002,2.24127,1.2485,0.93495,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,15173.2,1.73492,0.88326,1.05721,0.84656,0.74988,0.78375,0.42887,2.23869,1.24424,0.93484,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,15429.9,1.72959,0.87694,1.05835,0.84901,0.74818,0.78403,0.43113,2.23736,1.24371,0.93381,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,15691.9,1.72753,0.87835,1.05285,0.84793,0.74997,0.78523,0.43346,2.23103,1.23866,0.93336,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,15948.2,1.72236,0.87096,1.05316,0.84859,0.75059,0.78528,0.43434,2.2306,1.23375,0.93317,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,16204.7,1.70395,0.86022,1.05025,0.84537,0.75123,0.78528,0.4348,2.23219,1.23188,0.93328,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,16468.8,1.70098,0.85926,1.04938,0.85274,0.7498,0.78749,0.43593,2.23016,1.22881,0.93254,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,16727.3,1.69546,0.85693,1.04304,0.85419,0.7511,0.78785,0.43628,2.23077,1.23101,0.93134,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
