epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,985.786,1.26944,0.64713,1.11577,0.89972,0.89062,0.92778,0.54954,1.47054,0.66201,1.20463,0.000742625,0.000742625,0.000742625
43,1015.35,1.27222,0.6517,1.11447,0.91411,0.87318,0.91988,0.55223,1.4653,0.65516,1.22749,0.00073025,0.00073025,0.00073025
44,1046.7,1.26583,0.63804,1.11638,0.91146,0.87977,0.92538,0.55056,1.4668,0.65191,1.19564,0.000717875,0.000717875,0.000717875
45,1076.52,1.26943,0.63326,1.10882,0.9181,0.87406,0.92465,0.54468,1.46945,0.64981,1.21383,0.0007055,0.0007055,0.0007055
46,1105.41,1.24616,0.62234,1.09911,0.90581,0.87688,0.92824,0.55314,1.46366,0.64137,1.20332,0.000693125,0.000693125,0.000693125
47,1135.11,1.24616,0.62307,1.10276,0.91957,0.87582,0.9254,0.54949,1.45662,0.64424,1.21125,0.00068075,0.00068075,0.00068075
48,1162.16,1.23436,0.61426,1.09455,0.91987,0.87242,0.92539,0.55005,1.47195,0.64108,1.21905,0.000668375,0.000668375,0.000668375
49,1191.11,1.25051,0.62104,1.0926,0.90116,0.85743,0.91667,0.53784,1.50132,0.67398,1.23559,0.000656,0.000656,0.000656
50,1221.25,1.23065,0.61519,1.08868,0.91903,0.8733,0.9253,0.54817,1.46863,0.63637,1.22527,0.000643625,0.000643625,0.000643625
51,1250.51,1.2218,0.60931,1.08671,0.92021,0.88333,0.92847,0.55175,1.46284,0.62692,1.22088,0.00063125,0.00063125,0.00063125
52,1278.45,1.20432,0.60404,1.08646,0.90652,0.87756,0.92505,0.54522,1.47526,0.63563,1.22196,0.000618875,0.000618875,0.000618875
53,1308.31,1.20837,0.59509,1.07881,0.91232,0.88063,0.9249,0.55514,1.45499,0.63222,1.20458,0.0006065,0.0006065,0.0006065
54,1338.46,1.20014,0.58804,1.07983,0.92363,0.87949,0.92915,0.55692,1.45985,0.62063,1.23338,0.000594125,0.000594125,0.000594125
55,1368.66,1.1929,0.58495,1.069,0.90447,0.89088,0.9306,0.55405,1.45114,0.61828,1.22395,0.00058175,0.00058175,0.00058175
56,1394.37,1.19021,0.59041,1.07567,0.92551,0.88325,0.93121,0.56578,1.44624,0.62191,1.20165,0.000569375,0.000569375,0.000569375
57,1418.02,1.17708,0.5727,1.07108,0.92016,0.88439,0.93203,0.55728,1.43819,0.61255,1.21075,0.000557,0.000557,0.000557
58,1441.29,1.17185,0.58153,1.06639,0.91589,0.8814,0.92882,0.55034,1.49159,0.62824,1.24561,0.000544625,0.000544625,0.000544625
59,1464.86,1.16644,0.57082,1.04958,0.92552,0.89376,0.93584,0.55739,1.46491,0.61524,1.22687,0.00053225,0.00053225,0.00053225
60,1488.25,1.15585,0.56901,1.07205,0.91442,0.88979,0.93089,0.56125,1.45689,0.61031,1.2045,0.000519875,0.000519875,0.000519875
61,1511.46,1.1526,0.57319,1.05942,0.92801,0.88541,0.93162,0.5614,1.4516,0.61535,1.21012,0.0005075,0.0005075,0.0005075
62,1535.02,1.15967,0.56593,1.06379,0.91538,0.88911,0.92872,0.56222,1.45129,0.61268,1.21605,0.000495125,0.000495125,0.000495125
63,1558.62,1.14076,0.5631,1.05472,0.92621,0.89845,0.93489,0.56347,1.42872,0.6041,1.20155,0.00048275,0.00048275,0.00048275
64,1581.73,1.13845,0.56073,1.05023,0.92593,0.89968,0.93803,0.56384,1.45131,0.60519,1.21848,0.000470375,0.000470375,0.000470375
65,1604.92,1.1431,0.55513,1.04209,0.92847,0.89624,0.93598,0.56719,1.4336,0.60154,1.2011,0.000458,0.000458,0.000458
66,1628.26,1.1345,0.54867,1.04692,0.91455,0.89352,0.93651,0.56597,1.45102,0.60206,1.2208,0.000445625,0.000445625,0.000445625
67,1651.46,1.1184,0.54336,1.04642,0.92769,0.89694,0.93894,0.56892,1.44341,0.61119,1.21259,0.00043325,0.00043325,0.00043325
68,1674.72,1.14277,0.55358,1.04672,0.91414,0.89634,0.93311,0.55959,1.44743,0.60975,1.21193,0.000420875,0.000420875,0.000420875
69,1698.03,1.1242,0.54356,1.03878,0.92213,0.89598,0.93543,0.56544,1.44737,0.60978,1.21719,0.0004085,0.0004085,0.0004085
